itemCollection_faction_Calderon,,,
Weapon_Laser_BinaryLaserCannon_0-STOCK,Weapon,0,1
Weapon_Laser_BinaryLaserCannon_1-Defiance,Weapon,0,1
Weapon_Laser_BinaryLaserMedium_0-STOCK,Weapon,0,1
Weapon_Laser_BinaryLaserMedium_1-Defiance,Weapon,0,1
Weapon_Laser_BinaryLaserSmall_0-STOCK,Weapon,0,1
Weapon_Laser_BinaryLaserSmall_1-Defiance,Weapon,0,1
Weapon_MECHMORTAR_1,Weapon,0,1
Weapon_MECHMORTAR_2,Weapon,0,1
Weapon_MECHMORTAR_4,Weapon,0,1
Weapon_MECHMORTAR_8,Weapon,0,1
Ammo_AmmunitionBox_Acid_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Airburst_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Fascam_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Flare_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Generic_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Guided_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Inferno_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Smoke_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Suppressant_Mortar,AmmunitionBox,0,1
Ammo_AmmunitionBox_Suppressant_Mortar_half,AmmunitionBox,0,1
Ammo_AmmunitionBox_Acid_Mortar_half,AmmunitionBox,0,1
Ammo_AmmunitionBox_Airburst_Mortar_half,AmmunitionBox,0,1
Ammo_AmmunitionBox_Fascam_Mortar_half,AmmunitionBox,0,1
Ammo_AmmunitionBox_Flare_Mortar_half,AmmunitionBox,0,1
Ammo_AmmunitionBox_Generic_Mortar_half,AmmunitionBox,0,1
Ammo_AmmunitionBox_Guided_Mortar_half,AmmunitionBox,0,1
Ammo_AmmunitionBox_Inferno_Mortar_half,AmmunitionBox,0,1
Ammo_AmmunitionBox_Smoke_Mortar_half,AmmunitionBox,0,1
mechdef_mackie-9H,Mech,0,1
mechdef_talos_TLS-1B,Mech,0,1
mechdef_talos_TLS-2B,Mech,0,1
mechdef_toro_TR-A-6,Mech,0,1
mechdef_toro_TR-A-8,Mech,0,1
Gear_Gyro_Compact,Upgrade,0,1
Gear_Gyro_Heavy_Duty,Upgrade,0,1
Gear_Gyro_XL,Upgrade,0,1
Gear_Attachment_MortarFCS,Upgrade,0,1
Gear_Airdrop_Beacon_Turret,Upgrade,0,1
